"","GSM4063816","GSM4063814","GSM4063823","GSM4063832","GSM4063818","GSM4063830","GSM4063817","GSM4063829","GSM4063821","GSM4063815","GSM4063820","GSM4063822","GSM4063826","GSM4063819","GSM4063831","GSM4063825","GSM4063824","GSM4063833","GSM4063834","GSM4063827","GSM4063828"
"M6PR",10.6922057355503,10.9568472977654,10.0559073775831,9.01154707329103,11.6253709571933,11.8234918382936,10.9948137528622,10.9829686266889,11.5134828499063,11.3448418092057,10.9464084807222,10.2899393351906,10.2045259064921,10.423535102934,10.4873446502756,10.7836154389895,10.4278743067927,9.9087452197894,9.07775357817439,10.8455794325422,10.4429984250021
"CD38",8.24225284055247,5.70455385053395,2.76929379379981,5.20395089659597,5.69985392052907,3.06497129325203,7.91242652205824,4.89364858545983,6.84953145829685,5.24298580186712,7.91180301497635,4.39792751554523,7.50500167110221,6.84938508292647,6.6229820211951,4.60300848703017,6.9214446620795,2.04296925736984,3.68334387718613,6.11552292515894,5.22150476205139
"SKAP2",9.46619762433289,11.2976952582477,8.95418438483422,9.53719276965878,12.7966711567922,7.09190183960729,12.4834142451534,11.1754179369141,12.2796126121985,9.24510461688201,10.4594941204066,9.75366319671711,8.51946681467502,11.7092828803894,10.1097118392065,10.4535237523041,10.3282766167192,5.62175885670973,10.2621923532219,7.56422343335838,7.41588793145212
"MPO",3.88223316794058,3.77934062671126,1.15262281424738,4.67170494614516,3.17420665184187,8.74910347307659,3.70118085104118,6.71605805236285,2.53471131648764,6.50446785270536,3.2165226911709,2.41208615487709,5.18706855453092,-9.96578428466209,5.91428849077624,6.74681794374251,5.44135034551481,2.2656010202796,4.45039835709208,4.14198121816567,6.2656202969004
"ITGAL",12.6575142944226,12.9137744738291,6.83828243712357,7.42635114606262,11.1519881592199,10.0189192602684,12.1484479822134,12.2438460727946,10.76832246614,11.2168537532015,12.6932717568634,7.91216661045578,9.08573640905548,13.3667348807624,13.246396358888,13.2043944644197,12.2867529569388,7.57582662272755,9.84844939975357,11.7585688537133,10.9956491587503
"CX3CL1",3.78088643192882,5.14288472840527,4.75223906313241,3.47105866581126,3.8866925564388,5.5758632212318,5.49131567249019,5.19033948934058,3.93034846701974,6.0616638876133,4.98544213841854,4.39205977565942,5.33527314771049,5.12615846818461,4.78324133413104,7.06171356425679,5.27212810173352,4.908795138084,2.75257284589177,-9.96578428466209,6.40181867495381
"NOS2",-9.96578428466209,-9.96578428466209,-9.96578428466209,7.98873921279842,-9.96578428466209,3.70807684962172,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,1.31862458345238,-9.96578428466209,-9.96578428466209,8.34704904877201,-9.96578428466209,-9.96578428466209,3.14815692181181,-9.96578428466209,-0.265336590104117,-9.96578428466209
"CD79B",9.87160357970088,11.7312863578556,4.60479249091251,5.32541735800648,9.71730473557755,8.60866030924518,8.94651010015026,7.44495440458056,9.26522941682779,8.97549548902293,9.9669927568272,6.28315782302269,5.96975718518575,12.6532445710653,9.91305858855164,8.58434283533753,10.3488078100404,5.41268127825659,7.56991027784403,9.45906331552325,9.69953601675276
"CD4",7.38317290273601,7.44444345033173,3.22650082308382,3.20513238526248,6.0303418173545,4.96339921286448,6.47977331321272,7.37304870372021,6.16006220380364,6.57014730696321,6.70796507478695,3.13203749963895,5.27360316489045,7.04125612625948,6.45137565212339,6.13599877068796,6.77545489257207,2.6277097840542,5.13101238967454,5.84591401553334,7.09637993598639
"TYROBP",12.7326276830636,11.9444141221727,9.23677744599808,7.0575315027259,12.4468475805552,11.4209470859066,12.497391318257,12.7154230232676,11.5291113298745,12.8816973080682,11.8995132693587,7.78819824893086,9.13134022381196,11.6046074333658,11.9130329999521,12.4591362355272,11.042517122077,8.54382875679995,9.48886563031903,11.2478492071469,11.2438778992737
