"","Patient185_T","Patient168_T","Patient102_T_P","Patient169_T","Patient156_T","Patient48_T_M","Patient150_T","Patient63_T_P","Patient155_T","Patient125_T_P","Patient135_T","Patient148_T","Patient15_T_M","Patient152_T","Patient21_T_M","Patient133_T","Patient163_T","Patient8_T_M","Patient4_T_M","Patient99_T_P","Patient105_T_P","Patient165_T","Patient38_T_M","Patient126_T_P","Patient10_T_M","Patient22_T_M","Patient16_T_M","Patient72_T_P","Patient6_T_M","Patient23_T_M","Patient134_T","Patient83_T_P","Patient121_T_P","Patient18_T_M","Patient132_T","Patient184_T","Patient77_T_P","Patient131_T","Patient9_T_M","Patient79_T_P","Patient74_T_P","Patient141_T","Patient34_T_M","Patient187_T","Patient146_T","Patient116_T_P","Patient82_T_P","Patient94_T_P","Patient183_T","Patient166_T","Patient170_T","Patient173_T","Patient7_T_M","Patient11_T_M","Patient151_T","Patient31_T_M","Patient67_T_P","Patient36_T_M","Patient17_T_M","Patient154_T","Patient87_T_P","Patient1_T_M","Patient100_T_P","Patient153_T","Patient75_T_P","Patient61_T_P","Patient35_T_M","Patient32_T_M","Patient25_T_M","Patient98_T_P","Patient117_T_P","Patient14_T_M","Patient58_T_M","Patient108_T_P","Patient147_T","Patient24_T_M","Patient47_T_M","Patient179_T","Patient45_T_M","Patient140_T","Patient112_T_P","Patient96_T_P","Patient62_T_P","Patient144_T","Patient188_T","Patient130_T_P","Patient27_T_M","Patient162_T","Patient142_T","Patient127_T_P","Patient33_T_M","Patient20_T_M","Patient30_T_M","Patient13_T_M","Patient78_T_P","Patient44_T_M","Patient172_T","Patient19_T_M","Patient40_T_M","Patient42_T_M","Patient73_T_P","Patient86_T_P","Patient137_T","Patient37_T_M","Patient159_T","Patient158_T","Patient181_T","Patient76_T_P","Patient145_T","Patient167_T","Patient106_T_P","Patient149_T"
"FKBP4",4.15388638408562,5.78479186504406,4.66738124582579,5.07471949560121,6.21550387860988,5.60528689893373,5.03170395926032,4.48806506062445,4.73882186931049,3.86205458322547,5.08792952004019,5.70434634713571,4.22195439385222,5.81355034154203,5.92031712258766,5.05272019141136,5.72385886415648,6.1695442400094,3.31048554625019,6.46305020860319,3.43975609871485,5.88828053831999,4.66453972784881,5.87605029738741,6.84638048347307,4.91461235741715,6.73986160090565,5.80092577762618,3.71050340148579,5.28765697899618,4.30895784543634,3.79503959962437,5.0099293646194,5.70157677948687,4.95610313024108,5.40806644347527,5.46959298047361,4.36394199090941,5.57413179104278,5.34876355735597,5.93265177659041,8.28239810265853,4.74958789845832,4.43035218678039,6.24357388310472,4.5656580991895,6.18410173200306,4.00189229569359,3.14257681424455,7.13299832112489,2.85019934199064,5.75731666425352,6.9444016762128,4.21808367077239,5.19814050857275,5.1651481934761,4.29579647964759,4.71484994895412,5.88242296045009,5.12188573022345,5.74014503406878,5.02241220296218,3.74964152725378,5.5674541811537,5.70628188585102,6.11584478038706,5.97386379392557,4.56443914339827,4.18197712824881,4.87975477003701,5.34166558706732,4.0135515880033,5.87703254115969,4.01265805704392,5.64446199448182,5.4090853918938,3.71160503183932,5.02196824215092,4.82685351831064,4.78821587089713,4.79862084218863,6.10875443330879,4.95098157143512,4.5916195826226,5.54135995577765,5.71207297013478,4.76399575829385,5.53608399247071,4.94958162142144,4.94771290571587,3.14584046237516,4.53611508403112,2.56827537178828,5.64791886410776,5.68736868429355,5.32556630855141,4.61653414107945,5.91363144485353,5.16996507574797,5.94792325711098,6.80543434459457,4.33134693427069,4.93220293865459,3.82181224077928,5.49444761303813,5.58559354177137,4.22735601830864,6.19497348860644,4.99100022745226,4.50912574443665,5.65423502529769,5.25704834509351
"PDK4",4.48742203376371,7.128881067338,6.04572690350749,2.25429168632222,3.4503534839162,3.62421789678064,3.55716498397718,3.7367131004402,2.15736714811149,1.57094860517332,2.17024556472347,2.57555437330874,1.09153059312061,-0.7345631039509,5.17236749928482,5.28062231798725,4.64218169213078,1.58062791045726,3.67818461126018,3.56450011565452,-1.78090894175381,4.68655655308723,1.4756037446846,3.61010944721642,4.12606428007053,3.22974171998411,1.60454581636871,2.39259219566615,0.978927776381397,2.66925358652117,2.29012946467571,5.79574097737582,3.38003674428854,0.0854246562526704,4.72252067097555,2.75936891925091,-0.215914857265243,4.43235815907366,0.880489626687823,4.72470483556652,1.25761413004954,3.29880492346474,5.31219320034169,2.64177721169212,4.47385183792301,2.80343371146442,6.59516049028688,3.67931118873496,4.10442053499518,3.31339098483339,6.51461149390783,4.03922614641091,0.390667685559663,4.28251393953742,2.64177721169212,5.10270011838491,3.86997008235441,2.69621643405639,4.99959418494934,3.93366705238631,3.42639895265028,1.401084301505,4.42364539658424,0.856786546288079,2.17024556472347,4.18990360849735,2.97471284979611,3.69164582430092,2.79722054492389,3.38280556778669,2.17024556472347,5.63607353629419,3.0739915645716,-9.96578428466209,0.585923976958597,0.537047519404664,5.82377483139417,-0.320125852253375,3.20960932423035,0.623866861852696,1.48594198341241,1.32826202860942,0.455228571117131,2.96180851473748,4.10358156367537,6.20537296202459,4.05145911327323,9.27456685030934,2.83612611823494,3.24807936808726,7.27165910905035,3.08253228949639,3.15072213308598,1.64662350847658,2.34227027440455,-9.96578428466209,3.86403753321931,-1.05589120089204,0.202887833470151,-1.59509687785487,1.88009774972197,3.63818971164694,1.97856174947574,1.96384399836248,1.97856174947574,2.71830682186701,4.19148369193759,1.5902427080626,5.91315270879336,3.85009930419697,3.59943682303214,5.37611670485551
"SLC25A13",7.31814508170136,7.34971026863827,6.05920383514785,6.62528510331041,6.23076021281913,5.80531825463758,7.18290082178936,6.48737379519341,6.37662031486088,5.27467167134751,7.1910197219113,6.87959550174794,5.92934126874182,5.94839059487794,6.30690016890665,7.86833488772831,7.36851519185974,7.53761445624857,6.90798422473254,6.97786375334458,6.58226996458301,7.92961940714978,6.09277827915387,6.70460917973331,7.86493516091345,8.13632983209411,6.38768995023376,8.45269838184275,5.8351914275376,5.57685465712973,6.45188695917961,7.35077126239764,6.8557530480163,7.14782563370579,5.99799235594499,6.65350434003398,7.40387269559576,7.18845037989862,6.61560756880634,7.3186874108859,6.81814754607005,6.1018391401176,4.11194940246339,7.75141685531076,6.93039436109123,7.51365654492589,7.29325091685513,6.73391015925223,6.51729144306947,7.19092098563044,7.04232696211802,7.97591100395019,6.28356994288909,6.57517616386562,7.49594294468166,7.72452067435697,6.78294580587869,6.59650286527446,6.80065403856133,6.92577397984323,7.23286218286032,6.85948509097206,4.41690728223451,5.96719166833043,6.49074660592279,6.43697798934232,5.48255790824515,7.82528319113009,6.80723898654792,5.88388958605637,5.45552449844529,7.45220828770523,6.11833895923518,5.18392314748331,6.82465330858767,5.48513697092549,6.83226977509501,6.42862816662904,6.87308723975586,6.25627474664078,6.7619633721533,4.67021717817648,5.62471505009615,7.92831702049339,4.94724534833528,6.78909017223985,7.08279837415335,6.87726572581353,7.0656692404875,5.19025927818451,5.9441790950357,4.61064101152219,6.84185993234494,5.71921082623251,5.48288054333033,4.90453226721549,6.10078847076265,4.73720001306433,7.82209914950924,7.27277906178452,7.41134997341328,5.37403093059632,4.99733757584117,5.00094645809797,6.81674048786179,6.69878799692926,6.4947516027231,6.56118864308142,6.79351877706534,6.82503508841124,7.8759090448531,4.91700203370872
"ITGA3",5.28395880199258,6.39627938893118,6.48221906373413,4.28769391293474,4.56199813771312,3.16848158457264,5.70185397562977,2.99837605443825,6.20086918699767,2.90708294212449,6.1783361927879,2.97654693984849,2.83814500331237,5.36775545352184,4.48613511958811,4.44168265973541,3.83299125236982,7.39541417364899,7.10466164897989,5.17915272058282,2.18935017019566,5.13302915617786,3.68605224160799,6.60630896812496,2.43855900692367,5.98643369051488,6.64776060523889,5.88291200133234,6.96290756998062,5.65108040124233,5.96465276813757,4.4666923693593,7.25965853522978,6.36896036977474,5.54754236990502,8.04035000331973,5.2361481673081,4.47514975087176,7.57819151749495,5.53421727157768,4.35550967403436,6.40872884180333,3.98376888619273,5.6831630637754,6.44527976410513,5.21416367053627,5.01930160442879,3.55716498397718,3.97645529070188,8.70898383738704,6.47461450326059,5.3089214518831,5.75838313510535,7.26482726761746,6.74296283821525,5.60735990719052,-1.08620103504931,4.5940110216367,7.90857876296366,5.1400014848768,1.23327453899093,0.412510571249812,3.88664768933045,3.91943543256537,6.81597242276478,5.11981265387971,5.67894514754184,5.58559354177137,4.71320090315899,6.20302492058853,5.88364525197034,5.64734329407724,2.79929457495459,-3.17136841831199,7.03354413878328,4.00728521845538,2.90130136195475,4.99869196482619,7.99300062979815,6.12765391308863,6.65536614099236,4.1111147992694,6.98596713587408,5.21843246143042,1.87617311443746,4.34773651384579,4.99733757584117,3.9892298543215,5.2757892887981,7.18091365190902,3.1523456928352,9.50239624526586,5.31255627036597,4.53300260646713,8.22081844579872,1.29924465779607,5.05010984413388,5.48867567078865,5.25704834509351,6.13095145608141,5.01885668521201,4.45687184423018,7.40472434055817,5.55000793636081,4.17080637912932,1.90342396588873,7.15492947068697,3.94775965312091,6.07918608036553,5.75009729154459,2.7614980445501,7.52998487983276
"LAMP2",5.77744601782922,7.35447860786552,5.87506738440914,6.02261194076361,7.02902213328631,4.87386240267147,6.2977600169415,5.95538255558008,5.6320064124044,5.54135995577765,6.32140502312255,6.29243207412804,5.09596660344734,4.61947170326249,6.86295964225498,7.34652259762406,4.96767585995351,6.1483443820384,5.45683899710427,6.7872626703829,4.80017513563879,6.88461013061207,4.9122187163038,6.43697798934232,5.08410679644459,6.55705773692239,6.38717295405991,6.2340222331612,5.26494921391401,5.96949588859137,6.43547858330315,6.04397873826623,5.848522793263,6.45583680034151,6.30525920932726,5.36845407828594,6.48592588756396,7.76958001941723,6.27763146686061,6.11771581865842,6.74336685639487,5.88437813012257,5.48642477538126,6.49491157156996,5.85451935217793,6.38579339115646,6.43414446843341,5.90811636551483,4.43302619716714,6.95873829642429,7.28133660383282,7.00664586269146,6.04572690350749,6.2420498623734,6.4619050307046,6.387345306704,4.74851490369621,6.41567417338111,5.98779834989132,6.37662031486088,4.47255275626224,5.07814013095108,5.04967432669988,5.68063379412182,4.60116164570521,6.46272310766406,5.53110069254085,5.92768316175764,6.83631550877212,6.4902652583136,7.29921717832672,6.70971797634659,3.83096513724025,4.70989714603975,5.74875639710564,5.92863088479899,4.69382145669881,5.99120436154845,5.25742555971703,6.99243989025225,5.75811659129185,5.19183897234566,6.77400950757142,7.15239639964854,4.11445031902788,6.14141235369477,5.79131919918837,6.85013681918249,6.56865539440196,5.70986958291983,5.7652960454521,7.13412850901383,5.6305510849993,5.32015971010532,5.72030583020599,3.10952772179835,6.10456730482834,5.58949385515879,5.97592819509314,6.07062546400355,6.59888623002072,5.22114240300064,5.7387948533083,6.67385318613712,5.42696915470815,4.85254823544869,6.34998443345149,6.29335208987287,7.39489993858017,7.11645833252695,6.42359497767608,6.43714449385984
"SYPL1",5.58168265533032,6.03124078999927,5.84701975094245,5.76051371464509,5.71592081882228,4.89243960068626,5.92103161103376,5.44496516828289,5.74982921234044,4.12523780488701,5.56684559029408,5.16996507574797,4.38411889973073,4.62883190829318,4.78350903885003,6.47753162613987,5.49860192316327,5.66763670814174,6.39147560511755,5.65623892777207,5.638392469571,6.2583493189301,4.58682477935278,5.59308480938683,5.21688163486859,5.94464764704154,5.18788648900751,6.50256929121799,6.38786224112926,5.08453204405743,5.63694357313209,5.21338616786816,4.7285191848523,5.26307197552796,5.5213962888389,6.19929935504953,6.34520119240498,5.48899694078528,5.3875348708338,5.15181823630028,5.36180344398867,6.05030578409431,4.96629202395961,6.24052423000863,5.88242296045009,5.20871233194788,6.69071040998019,5.18749064445668,4.0453555955959,5.77481340995488,6.23899698259825,6.63271898727037,5.23039517541912,5.43699464065884,5.78164822368278,5.80428593313889,4.47514975087176,4.96629202395961,5.82301050313085,5.48578101684627,4.51985637480243,5.67018884642975,4.06099848768387,4.71044829788053,5.26344761866941,2.39259219566615,5.03918227082613,5.79651988628195,5.74472621986968,4.56870099038945,4.78193667615618,5.93689701199181,4.42230028899448,5.41450766241283,4.47709443355419,4.94256142148828,5.24035249536435,5.24073410014911,5.08197867616123,5.50433436723783,5.49604684062272,3.88859714580017,5.01395349645677,7.10957995607466,3.16848158457264,4.35902913089513,5.41586005176066,5.98119050521906,4.36394199090941,5.1683612346213,5.24035249536435,5.57140377624388,6.07426993451259,4.48291280287084,5.33881659196035,4.62708148944111,5.88388958605637,5.12973636414985,6.06050139789295,5.39132093213677,5.48449263736221,4.99507743149985,4.35198161045256,5.61090672024708,4.33134693427069,4.74744111030744,5.09131901392759,4.49191721468443,4.95517328905592,5.55277667129625,6.01549310913714,5.60321090768494
"RPS20",10.9231647830349,10.5696572241236,10.8515624470366,11.7754090465674,10.2284832248995,12.9176687562881,10.8748438318283,12.2139368409791,11.0299849360701,10.6203398923347,10.9603068067861,11.9520936360434,10.8070417137473,13.3677602304257,10.0508159195567,10.2672911614929,10.9995991174148,10.7711436104145,10.3066097182767,9.76696115544189,10.6354106874394,11.0301919065105,12.290914779599,10.2803079665489,11.4223334063078,10.3617036700073,12.1682493377697,11.5896656576509,11.4435812706597,10.4042166077653,11.6286920440347,11.8313036806101,10.0369579506107,10.4286124652329,11.1154150085252,8.40790929154798,11.1228868659153,11.8166561007044,10.9392934383696,10.0445047763819,10.220996147749,12.7717083744366,10.2067592017984,11.7901004231154,10.3077028752923,10.5947547354084,12.7131890867859,11.4761138105834,10.7177458146863,10.6452270002878,10.4957361295296,11.4099747912295,11.740131116776,10.5767781467139,10.0723349559313,11.4417308945425,12.5272548667045,12.4849313691726,10.4886144205759,11.2558848420529,11.352386121747,12.4883776791171,9.85296794716418,9.92138128368495,10.4914432726598,9.26453877669015,11.9215252200341,11.6370599913819,10.2074426710976,10.9465707759642,10.1986427078266,10.5600184644216,11.4586993265633,10.7369608039598,11.2661663530077,10.1025019814065,11.5939517506587,11.5556201442341,9.92723129335869,10.8527955524815,10.0487470533186,9.60773901944729,9.40243866746347,10.2193754694205,11.086999327537,10.4981720677347,11.371907841959,10.7426976397833,10.585085537825,9.63045097728517,10.9988097083674,10.4763118114101,11.6504688430933,11.3955668019066,10.2013655361047,11.2094966214619,11.3605623569495,11.8990551339423,11.3951544007163,11.2274360465366,11.4752982266231,10.2768351065392,11.0917533789177,11.1156555925129,11.7107724318344,11.5619613957341,10.3573441623892,10.3165428904665,11.2084788518697,9.88243060298889,11.4333042812076,11.0116123420904
"CD9",6.45007299494071,7.98151590905812,6.99255318853723,6.50495401677511,6.8434939880305,4.22272729381761,5.67838182583425,4.74206012223017,7.90581418409548,3.85808048790655,6.8462551036874,7.07340252803454,5.69796837458676,5.9701864376381,7.77926628761453,7.5839928642168,4.84152031930818,6.36108403972212,7.96267047626101,8.34239029247878,4.6993850555914,7.74873627419875,5.42730446244008,7.13720634714913,4.31911209306266,8.02835366005217,5.11107305643299,6.6858140332275,8.03138968205021,6.71878628866752,7.54226578952642,5.35723528069911,7.32040344290177,3.52619404017692,6.9774058675695,8.47033756158544,6.78517125826407,8.30574713394531,7.70204105292231,5.90330344703507,6.43997213446425,9.25491286623153,5.79262112960999,7.3759169487505,7.13299832112489,6.35598530230698,8.13031829433884,5.32520649833384,4.21497959762421,7.14690974020494,7.98202955520565,6.78634805061543,5.94488186599149,6.04899901474645,5.78164822368278,5.5185666110438,3.77620929043742,4.62941490961078,8.29191200572738,6.65951075147325,4.07561819773071,2.12796337812358,5.78374474551858,7.09308474874797,5.18114231578022,6.35633751847818,4.05406702258946,6.13280301715009,7.25692572910186,6.30853926413547,7.8594167569873,5.30782921816549,6.48221906373413,4.59580200304798,5.73609069506707,6.85350917939242,1.61870851231378,5.72957996007791,7.20467873105415,7.26726423723059,6.09699971284245,5.34592855845122,7.0626506203993,7.71329027477378,2.8641366092102,5.0409362542535,4.70989714603975,6.45895610668857,8.04385300725326,5.34592855845122,6.42510677896572,7.17063615494251,5.36775545352184,3.65202751295585,8.37491340730006,5.97821851489101,7.5396318754619,7.31452433444005,4.74152091791798,6.76674090790726,6.87579234754481,5.89484201007966,6.08387285681791,5.8242841586985,5.89192948398312,4.08244713204036,7.50875347589547,6.39542274268075,6.40038422519156,5.90667417512044,5.59427981062794,6.55445071468833
"NME2",8.94620741399978,9.12502852824416,8.63368912280599,9.67993922571627,10.0268567592425,9.25034816515348,9.32127648077464,9.44360872335924,9.44613420780368,8.14899001397515,9.53644344772804,8.86329114850164,7.82966566030713,10.2435560328062,9.31034239300049,8.66053435052668,8.21989936535157,8.86922676135481,8.20423366085445,9.48371704196251,8.31125333235333,10.2404467134295,9.58240734538115,8.55670146626343,10.1266412406373,9.04442417519205,10.2450903518046,8.94866216540144,9.81904702424202,9.27151205068936,8.91832957988286,8.82747291409083,8.97424535720141,9.33876089147067,9.20874890503831,8.18948360778037,8.7924356762922,7.80510539878487,9.79754967212699,8.84718578879197,9.23501137376265,9.40799211699457,7.6580043482978,9.58363002256984,8.78408187006698,8.30920802626563,9.39806172378926,8.53617337890097,8.07044836554298,9.28121371619753,8.64656231013768,8.27347392859756,8.66074825160583,9.69376745426542,8.69094432042624,9.54150515971762,9.2310315294639,8.91052581122485,8.93144964018471,8.68275235907145,8.58255976629964,9.3247903558742,7.96890290360058,9.63357833507846,9.24674297329784,7.85798721362728,9.99028978576436,8.06113353684186,8.35623626513584,8.17503051120369,8.77202089083879,8.06910600387828,9.22631825800024,6.12041415275892,9.45879825126506,8.51735837805586,8.53317786167661,9.62040496254677,9.5348884024715,8.99308274002224,8.7438952760545,7.98937179123448,8.48643684311068,8.30177510430437,8.30131784764676,9.16955175600989,8.60451987158263,9.31931309582152,8.66523286385888,7.93481722828172,7.81737383388335,8.74634972023089,7.49370336796163,7.98265709669471,8.74382797220453,10.3355254614478,8.68762413105,9.85460505959562,9.28005388341709,9.76924444839298,9.05734466564121,8.09872167378446,8.3023236210602,8.05610117663677,10.0272162677131,9.73692783563783,9.0077869703445,9.21538981516798,8.89860441033433,8.15543049169568,9.16719482444618,8.93085854250553
"SNAI2",5.26532436864903,6.52153762714371,2.19250981894195,4.13183638727079,4.88171355658535,6.48076597088466,1.74889054264591,6.01593906671195,4.02067998267204,3.356284691534,5.24035249536435,7.62724932995653,5.18946878199153,4.68262947596719,6.32554832017163,7.27212586168499,4.75387191494171,4.97227908341431,5.24492510437719,5.73446576383612,3.98832112725638,4.64794763658248,4.91413394680099,5.48094364965029,5.14775441839426,6.16029500317809,4.13758549273044,5.49636647352037,5.65222833553208,3.25866966866848,6.04616361403159,4.58922417293047,6.42846067626003,4.99733757584117,5.68624838368716,4.96859768040012,6.18529173086698,4.65998162590663,6.71919713342213,6.40157927239101,6.92375532740228,5.71289837352953,4.04622910920995,5.38822398505047,4.24039066038534,7.25134985174574,6.30197168011847,2.72049737048234,4.55894106113082,4.6264975442211,6.38958401937767,6.67681745501734,5.9441790950357,3.64627788378955,5.20793188507001,6.39696433988392,6.36668939898015,7.20887812253293,2.3953370500727,5.25364896783532,6.50891982051951,6.68019774973493,4.49511950455662,5.17795764509956,5.04312573904345,3.87686069676783,5.52076795101364,4.73936208314174,4.90597659928656,6.03872149660628,5.98027669857205,5.92720906667085,4.0063877967787,4.40945882607164,4.49255824155043,5.74041491865518,3.55471162900982,5.61503367808316,3.6725384900866,6.63794346728071,5.34059787310438,5.8515241883038,7.17293748745583,6.32500856445702,3.40203995474897,5.56471349826092,4.29359119789613,4.49383944144005,3.93555403851745,1.86433474078243,5.1428626783821,4.67700075734155,3.03227720097433,3.41427086388281,6.06783229071102,5.06656283345944,5.18907337140941,5.19696106521006,4.22272729381761,4.44234639504381,5.61208705619551,3.87882341394817,3.90506202354978,4.67191606560889,7.05399102527384,3.02520601886873,5.1651481934761,6.45402779873092,6.69586857372957,5.75811659129185,7.01559346161111,4.43569526048961
