"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"NFYA",9.53706131760451,9.95855223136713,10.2087826737575,9.70026855942382,9.92852179508062,10.7091393267376,11.2694162594879,9.87746857694212,9.41689304340933,9.94253607753993,10.5690515908943,10.919255945991,10.1086952625181,9.89048232170409,10.0086015715911,10.3689105107578
"SEMA3F",6.88687286746799,9.1033820890965,8.66344984514764,7.40250654295332,9.71829004052321,7.21835402184698,5.88786326241443,4.34580644571623,6.41521042405494,7.40854189642991,6.10622926812342,9.1434537392186,6.39295090335612,7.95118809057397,7.42765287839319,5.85735174131249
"ITGAL",8.76268556228416,8.18304947408829,8.04154024483338,7.73424721644706,7.72018121218704,8.05458931317772,8.661444914102,5.61998777487311,7.4145771023199,9.80438904896786,9.15447309660892,9.20455924506814,9.40888131890087,6.4627516219755,8.52308757523118,6.22688472133382
"MAP3K14",8.53110923948,9.15647660027707,9.22659621316157,8.17602535405838,9.256645722765,8.94708283785891,8.51807397377783,8.30344521159085,7.69204725722646,8.92102973403581,8.92002767236758,9.52504511387153,8.83484709126929,9.2416210968649,8.64540521806183,7.80758114719847
"CX3CL1",7.92909860128449,9.37583226113433,9.50301505421997,6.67496341727797,8.13387814144402,8.17401844102407,7.54228876925495,7.15894995996296,8.19910416660105,8.28940072562156,9.06931960200654,8.48498300888526,7.54631017671691,6.35854186545836,6.12245998882258,5.35931074104553
"TNFRSF12A",7.04714316068539,5.54138026203111,5.26089296063185,4.93152829337006,6.12144564469739,6.375747603864,7.13981625625193,8.91201112736838,6.33829665762598,4.87469187664229,8.22820175875019,6.81626727841512,6.70121531787656,4.26701926449655,6.71938704499177,8.37466427106959
"CCL26",3.73674889102476,3.5824397264089,3.72384562305133,3.31389628676107,4.41915955102068,3.02049633740265,2.77093638015271,4.7835987492325,3.9016531780314,2.03784432889712,3.69801465644034,4.76286809396318,3.47486827132888,3.43886587418943,-9.96578428466209,2.00919290550149
"CEACAM21",5.43711129371188,2.76290898568733,0.246779556288808,4.69334241726234,2.41059919627991,5.00376338678639,5.07280045371103,4.65177545342951,4.27438155339607,5.83191713037649,5.09030200756866,2.21115972762189,5.85938618032862,4.42648558412189,4.7929241348704,4.3887910594884
"NOS2",1.88326464743157,4.10138733128033,3.14347683952393,0.403167170646169,-9.96578428466209,-9.96578428466209,2.09481702005914,-9.96578428466209,0.807501155402632,-0.992519082663833,1.80014690668732,-9.96578428466209,-9.96578428466209,0.906798531867693,0.411932914700323,2.00919290550149
"CEACAM7",4.30381236837608,1.73417809207063,6.29982117422654,0.403167170646169,0.905265414668873,-9.96578428466209,2.63018201652457,-9.96578428466209,3.39840913528647,-9.96578428466209,2.18192907657302,-9.96578428466209,3.33918667502793,2.04157323785981,3.93576703230568,-0.231519843561135
